show_id,title,type,release_year,genre,country,description
s1,The Tomorrow War,Movie,2021,Action,USA,A futuristic war against aliens.
s2,Jack Ryan,TV Show,2018,Thriller,USA,CIA analyst becomes a field agent.
s3,Mirzapur,TV Show,2018,Crime,India,A gangster story from small-town India.
s4,The Boys,TV Show,2019,Superhero,USA,Superheroes behave badly off-camera.
s5,Family Man,TV Show,2019,Drama,India,An intelligence officer balancing family and duty.
s6,The Marvelous Mrs. Maisel,TV Show,2017,Comedy,USA,A 1950s housewife pursues a comedy career.
s7,Paatal Lok,TV Show,2020,Crime,India,A dark crime thriller exploring society.
s8,Reacher,TV Show,2022,Action,USA,An ex-military police investigates crimes.
s9,Breathe,TV Show,2018,Thriller,India,A man faces moral dilemmas in his double life.
s10,Made in Heaven,TV Show,2019,Romance,India,Two wedding planners navigate love and chaos.
